Level,Math,Science,Reading,DigitalReading,ProblemSolving,Financial
6,669,708,698,,683,
5,607,633,626,626,618,625
4,545,559,553,553,553,550
3,482,484,480,480,488,475
2,420,410,407,407,423,400
1,358,335,335,,358,326
